chromosome,gene_id,locus_tag,gene_name,cds_start,cds_end,strand,product,protein_id,cds_length
NC_000962.3,Rv0001,Rv0001,dnaA,1,1521,+,chromosomal replication initiator protein DnaA,NP_214515.1,1521
NC_000962.3,Rv0002,Rv0002,dnaN,2052,3257,+,DNA polymerase III subunit beta,NP_214516.1,1206
NC_000962.3,Rv0003,Rv0003,recF,3280,4434,+,DNA replication/repair protein RecF,NP_214517.1,1155
NC_000962.3,Rv0004,Rv0004,,4434,4994,+,hypothetical protein,NP_214518.1,561
NC_000962.3,Rv0005,Rv0005,gyrB,5240,7264,+,DNA gyrase subunit B,NP_214519.2,2025
NC_000962.3,Rv0006,Rv0006,gyrA,7302,9815,+,DNA gyrase subunit A,NP_214520.1,2514
NC_000962.3,Rv0007,Rv0007,,9914,10825,+,membrane protein,NP_214521.1,912
NC_000962.3,Rv0008c,Rv0008c,,11877,12311,-,cell wall synthesis protein CwsA,NP_214522.1,435
NC_000962.3,Rv0009,Rv0009,ppiA,12468,13013,+,iron-regulated peptidyl-prolyl cis-trans isomerase PpiA,NP_214523.1,546
NC_000962.3,Rv0010c,Rv0010c,,13136,13558,-,membrane protein,NP_214524.1,423
NC_000962.3,Rv0011c,Rv0011c,,13717,13995,-,cell division protein CrgA,NP_214525.1,279
NC_000962.3,Rv0012,Rv0012,,14089,14874,+,membrane protein,NP_214526.1,786
NC_000962.3,Rv0013,Rv0013,trpG,14914,15609,+,anthranilate synthase component II,YP_177615.1,696
NC_000962.3,Rv0014c,Rv0014c,pknB,15593,17470,-,serine/threonine-protein kinase PknB,NP_214528.1,1878
NC_000962.3,Rv0015c,Rv0015c,pknA,17470,18762,-,serine/threonine-protein kinase PknA,NP_214529.1,1293
NC_000962.3,Rv0016c,Rv0016c,pbpA,18762,20234,-,penicillin-binding protein PbpA,NP_214530.1,1473
NC_000962.3,Rv0017c,Rv0017c,rodA,20234,21640,-,cell division protein RodA,NP_214531.1,1407
NC_000962.3,Rv0018c,Rv0018c,pstP,21640,23181,-,phosphoserine/threonine phosphatase PstP,NP_214532.1,1542
NC_000962.3,Rv0019c,Rv0019c,fhaB,23273,23737,-,FHA domain-containing protein FhaB,NP_214533.1,465
NC_000962.3,Rv0020c,Rv0020c,fhaA,23864,25444,-,FHA domain-containing protein FhaA,NP_214534.1,1581
NC_000962.3,Rv0021c,Rv0021c,,25916,26881,-,hypothetical protein,NP_214535.1,966
NC_000962.3,Rv0022c,Rv0022c,whiB5,27026,27442,-,transcriptional regulator WhiB5,NP_214536.1,417
NC_000962.3,Rv0023,Rv0023,,27595,28362,+,transcriptional regulator,NP_214537.1,768
NC_000962.3,Rv0024,Rv0024,,28362,29204,+,NLP/P60 family protein,NP_214538.1,843
NC_000962.3,Rv0025,Rv0025,,29245,29604,+,hypothetical protein,NP_214539.1,360
NC_000962.3,Rv0026,Rv0026,,29722,31065,+,hypothetical protein,NP_214540.1,1344
NC_000962.3,Rv0027,Rv0027,,31189,31503,+,hypothetical protein,NP_214541.1,315
NC_000962.3,Rv0028,Rv0028,,31514,31816,+,hypothetical protein,NP_214542.1,303
NC_000962.3,Rv0029,Rv0029,,32057,33151,+,hypothetical protein,NP_214543.1,1095
NC_000962.3,Rv0030,Rv0030,,33224,33550,+,hypothetical protein,NP_214544.1,327
NC_000962.3,Rv0032,Rv0032,bioF2,34295,36607,+,8-amino-7-oxononanoate synthase,NP_214546.1,2313
NC_000962.3,Rv0033,Rv0033,acpA,36607,36867,+,acyl carrier protein AcpA,NP_214547.1,261
NC_000962.3,Rv0034,Rv0034,,36867,37259,+,hypothetical protein,NP_214548.1,393
NC_000962.3,Rv0035,Rv0035,fadD34,37259,38944,+,fatty-acid--CoA ligase FadD34,YP_177686.1,1686
NC_000962.3,Rv0036c,Rv0036c,,39059,39829,-,hypothetical protein,NP_214550.1,771
NC_000962.3,Rv0037c,Rv0037c,,39880,41202,-,MFS-type transporter,NP_214551.1,1323
NC_000962.3,Rv0038,Rv0038,,41304,41909,+,hypothetical protein,NP_214552.1,606
NC_000962.3,Rv0039c,Rv0039c,,42007,42351,-,transmembrane protein,NP_214553.1,345
NC_000962.3,Rv0040c,Rv0040c,mtc28,42436,43365,-,hypothetical protein,NP_214554.2,930
NC_000962.3,Rv0041,Rv0041,leuS,43562,46468,+,leucine--tRNA ligase,NP_214555.1,2907
NC_000962.3,Rv0042c,Rv0042c,,46584,47207,-,transcriptional regulator,NP_214556.1,624
NC_000962.3,Rv0043c,Rv0043c,,47369,48100,-,HTH-type transcriptional regulator,NP_214557.1,732
NC_000962.3,Rv0044c,Rv0044c,,48236,49027,-,oxidoreductase,NP_214558.1,792
NC_000962.3,Rv0045c,Rv0045c,,49046,49939,-,hydrolase,NP_214559.1,894
NC_000962.3,Rv0046c,Rv0046c,ino1,50024,51124,-,inositol-3-phosphate synthase,NP_214560.1,1101
NC_000962.3,Rv0047c,Rv0047c,,51188,51727,-,hypothetical protein,NP_214561.1,540
NC_000962.3,Rv0048c,Rv0048c,,51831,52697,-,membrane protein,NP_214562.1,867
NC_000962.3,Rv0049,Rv0049,,52831,53241,+,hypothetical protein,NP_214563.1,411
NC_000962.3,Rv0050,Rv0050,ponA1,53663,55696,+,bifunctional penicillin-insensitive transglycosylase/penicillin-sensitive transpeptidase,YP_177687.1,2034
NC_000962.3,Rv0051,Rv0051,,55696,57375,+,transmembrane protein,NP_214565.1,1680
NC_000962.3,Rv0052,Rv0052,,57410,57970,+,hypothetical protein,NP_214566.3,561
NC_000962.3,Rv0053,Rv0053,rpsF,58192,58479,+,30S ribosomal protein S6,NP_214567.1,288
NC_000962.3,Rv0054,Rv0054,ssb,58586,59077,+,single-strand DNA-binding protein,NP_214568.1,492
NC_000962.3,Rv0055,Rv0055,rpsR1,59122,59373,+,30S ribosomal protein S18,YP_177688.1,252
NC_000962.3,Rv0056,Rv0056,rplI,59409,59864,+,50S ribosomal protein L9,NP_214570.1,456
NC_000962.3,Rv0057,Rv0057,,59896,60414,+,hypothetical protein,NP_214571.1,519
NC_000962.3,Rv0058,Rv0058,dnaB,60396,63017,+,replicative DNA helicase,NP_214572.1,2622
NC_000962.3,Rv0059,Rv0059,,63200,63889,+,hypothetical protein,NP_214573.1,690
NC_000962.3,Rv0060,Rv0060,,63909,64964,+,hypothetical protein,NP_214574.1,1056
NC_000962.3,Rv0061c,Rv0061c,,65015,65350,-,hypothetical protein,YP_007408697.1,336
NC_000962.3,Rv0062,Rv0062,celA1,65552,66691,+,cellulase CelA,YP_177689.1,1140
NC_000962.3,Rv0063,Rv0063,,66923,68359,+,oxidoreductase,NP_214577.1,1437
NC_000962.3,Rv0063a,Rv0063a,,68418,68576,+,hypothetical protein,YP_009030026.1,159
NC_000962.3,Rv0064,Rv0064,,68620,71556,+,transmembrane protein,NP_214578.1,2937
NC_000962.3,Rv0064A,Rv0064A,vapB1,71589,71825,+,antitoxin VapB1,YP_007408701.1,237
NC_000962.3,Rv0065,Rv0065,vapC1,71821,72219,+,ribonuclease VapC1,NP_214579.1,399
NC_000962.3,Rv0066c,Rv0066c,icd2,72277,74511,-,isocitrate dehydrogenase,NP_214580.1,2235
NC_000962.3,Rv0067c,Rv0067c,,74632,75198,-,transcriptional regulator,NP_214581.1,567
NC_000962.3,Rv0068,Rv0068,,75301,76209,+,oxidoreductase,NP_214582.1,909
NC_000962.3,Rv0069c,Rv0069c,sdaA,76240,77622,-,L-serine dehydratase,NP_214583.1,1383
NC_000962.3,Rv0070c,Rv0070c,glyA2,77622,78896,-,serine hydroxymethyltransferase,NP_214584.1,1275
NC_000962.3,Rv0071,Rv0071,,79486,80190,+,maturase,NP_214585.1,705
NC_000962.3,Rv0072,Rv0072,,80624,81670,+,glutamine ABC transporter permease,NP_214586.1,1047
NC_000962.3,Rv0073,Rv0073,,81676,82665,+,glutamine ABC transporter ATP-binding protein,NP_214587.1,990
NC_000962.3,Rv0074,Rv0074,,82748,83980,+,hypothetical protein,NP_214588.1,1233
NC_000962.3,Rv0075,Rv0075,,83996,85165,+,aminotransferase,NP_214589.1,1170
NC_000962.3,Rv0076c,Rv0076c,,85186,85572,-,membrane protein,NP_214590.1,387
NC_000962.3,Rv0077c,Rv0077c,,85639,86466,-,oxidoreductase,NP_214591.1,828
NC_000962.3,Rv0078,Rv0078,,86528,87130,+,transcriptional regulator,NP_214592.1,603
NC_000962.3,Rv0078A,Rv0078A,,87211,87801,-,hypothetical protein,YP_177616.1,591
NC_000962.3,Rv0078B,Rv0078B,,87801,88004,-,hypothetical protein,YP_007408717.1,204
NC_000962.3,Rv0079,Rv0079,,88204,89022,+,hypothetical protein,NP_214593.1,819
NC_000962.3,Rv0080,Rv0080,,89022,89477,+,hypothetical protein,NP_214594.1,456
NC_000962.3,Rv0081,Rv0081,,89575,89916,+,HTH-type transcriptional regulator,NP_214595.1,342
NC_000962.3,Rv0082,Rv0082,,89924,90400,+,oxidoreductase,NP_214596.2,477
NC_000962.3,Rv0083,Rv0083,,90400,92319,+,oxidoreductase,NP_214597.1,1920
NC_000962.3,Rv0084,Rv0084,hycD,92328,93275,+,formate hydrogenlyase HycD,NP_214598.1,948
NC_000962.3,Rv0085,Rv0085,hycP,93289,93948,+,hydrogenase HycP,NP_214599.1,660
NC_000962.3,Rv0086,Rv0086,hycQ,93951,95414,+,hydrogenase HycQ,NP_214600.1,1464
NC_000962.3,Rv0087,Rv0087,hycE,95414,96889,+,formate hydrogenase HycE,NP_214601.1,1476
NC_000962.3,Rv0088,Rv0088,,96927,97598,+,polyketide cyclase/dehydrase,NP_214602.1,672
NC_000962.3,Rv0089,Rv0089,,97758,98348,+,methyltransferase,NP_214603.1,591
NC_000962.3,Rv0090,Rv0090,,98480,99247,+,membrane protein,NP_214604.1,768
NC_000962.3,Rv0091,Rv0091,mtn,99684,100448,+,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,NP_214605.1,765
NC_000962.3,Rv0092,Rv0092,ctpA,100583,102865,+,cation transporter ATPase A,NP_214606.1,2283
NC_000962.3,Rv0093c,Rv0093c,,102818,103663,-,membrane protein,NP_214607.1,846
